,time,T_0.040,T_0.060,T_0.073
0,0.0,20.0,20.0,20.0
1,1.0,20.0,20.0,20.0
2,2.0,20.0,20.0,20.0
3,3.0,20.0,20.0,20.0
4,4.0,20.0,20.0,20.0
5,5.0,20.0,20.0,20.0
6,6.0,20.0,20.0,20.0
7,7.0,20.0,20.0,20.0
8,8.0,20.0,20.0,20.0
9,9.0,20.0,20.0,20.0
10,10.0,20.0,20.0,20.0
11,11.0,20.0,20.0,20.0
12,12.0,20.0,20.0,20.0
13,13.0,20.0,20.0,20.0
14,14.0,20.0,20.0,20.0
15,15.0,20.0,20.0,20.0
16,16.0,20.0,20.0,20.0
17,17.0,20.0,20.0,20.0
18,18.0,20.0,20.0,20.0
19,19.0,20.0,20.0,20.0
20,20.0,20.0,20.0,20.0
21,21.0,20.0,20.0,20.0
22,22.0,20.0,20.0,20.0
23,23.0,20.0,20.0,20.0
24,24.0,20.0,20.0,20.0
25,25.0,20.0,20.0,20.0
26,26.0,20.0,20.0,20.0
27,27.0,20.0,20.0,20.0
28,28.0,20.0,20.0,20.0
29,29.0,20.0,20.0,20.0
30,30.0,20.0,20.0,20.0
31,31.0,20.0,20.0,20.0
32,32.0,20.0,20.0,20.0
33,33.0,20.0,20.0,20.0
34,34.0,20.0,20.0,20.0
35,35.0,20.0,20.0,20.0
36,36.0,20.0,20.0,20.0
37,37.0,20.0,20.0,20.0
38,38.0,20.0,20.0,20.0
39,39.0,20.0,20.0,20.0
40,40.0,20.0,20.0,20.0
41,41.0,20.0,20.0,20.0
42,42.0,20.0,20.0,20.0
43,43.0,20.0,20.0,20.0
44,44.0,20.000001907348633,20.0,20.0
45,45.0,20.000003814697266,20.0,20.0
46,46.0,20.000003814697266,20.0,20.0
47,47.0,20.000003814697266,20.0,20.0
48,48.0,20.000003814697266,20.0,20.0
49,49.0,20.000003814697266,20.0,20.0
50,50.0,20.0000057220459,20.0,20.0
51,51.0,20.00000762939453,20.0,20.0
52,52.0,20.00000762939453,20.0,20.0
53,53.0,20.00000762939453,20.0,20.0
54,54.0,20.000009536743164,20.0,20.0
55,55.0,20.000009536743164,20.0,20.0
56,56.0,20.00001335144043,20.0,20.0
57,57.0,20.00001335144043,20.0,20.0
58,58.0,20.000015258789062,20.0,20.0
59,59.0,20.000017166137695,20.0,20.0
60,60.0,20.00002098083496,20.0,20.0
61,61.0,20.000022888183594,20.0,20.0
62,62.0,20.000024795532227,20.0,20.0
63,63.0,20.000028610229492,20.0,20.0
64,64.0,20.000030517578125,20.0,20.0
65,65.0,20.00003433227539,20.0,20.0
66,66.0,20.000038146972656,20.0,20.0
67,67.0,20.000041961669922,20.0,20.0
68,68.0,20.00004768371582,20.0,20.0
69,69.0,20.000051498413086,20.0,20.0
70,70.0,20.00005531311035,20.0,20.0
71,71.0,20.000064849853516,20.0,20.0
72,72.0,20.00006866455078,20.0,20.0
73,73.0,20.000076293945312,20.0,20.0
74,74.0,20.000083923339844,20.0,20.0
75,75.0,20.000089645385742,20.0,20.0
76,76.0,20.000099182128906,20.0,20.0
77,77.0,20.000106811523438,20.0,20.0
78,78.0,20.00011444091797,20.0,20.0
79,79.0,20.0001277923584,20.0,20.0
80,80.0,20.000137329101562,20.0,20.0
81,81.0,20.00014877319336,20.0,20.0
82,82.0,20.000160217285156,20.0,20.0
83,83.0,20.000173568725586,20.0,20.0
84,84.0,20.000186920166016,20.0,20.0
85,85.0,20.000205993652344,20.0,20.0
86,86.0,20.000219345092773,20.0,20.0
87,87.0,20.000232696533203,20.0,20.0
88,88.0,20.0002498626709,20.0,20.0
89,89.0,20.000267028808594,20.0,20.0
90,90.0,20.000288009643555,20.0,20.0
91,91.0,20.00030517578125,20.0,20.0
92,92.0,20.000328063964844,20.0,20.0
93,93.0,20.000350952148438,20.0,20.0
94,94.0,20.0003719329834,20.0,20.0
95,95.0,20.000396728515625,20.0,20.0
96,96.0,20.00042152404785,20.0,20.0
97,97.0,20.00044822692871,20.0,20.0
98,98.0,20.000478744506836,20.0,20.0
