t,T
0,21.9402
17.44,21.9402
74.93,21.6828
132.19,22.0181
167.94,21.6818
264.73,22.1353
330.15,21.8086
456.78,21.8666
581.42,21.9246
646.57,22.3191
721.92,21.9232
798.92,22.3769
894.06,21.9807
953.33,22.237
1030.6,21.9892
1153.14,22.3634
1215.57,22.1256
1309.36,22.6532
1358.92,22.4304
1507.04,23.1946
1558.59,22.9372
1638.71,22.9957
1662.29,23.4202
1701.88,23.405
1703.92,23.2469
1772.06,23.5723
1833.41,23.5617
1901.58,23.8229
1965.82,24.0198
2058.91,23.8015
2106.27,24.1517
2152.65,24.4724
2260.48,24.5108
2317.74,24.856
2476.89,25.2347
2621.22,25.579
2707.47,25.1138
2764.63,25.7208
2847.86,25.4038
2901.04,26.0702
2945.7,25.6992
2991.97,26.3162
3045.48,26.0934
3079.03,26.3499
3114.69,26.2211
3192.62,26.8378
3236.21,26.704
3279.64,26.9752
3303.48,26.7231
3329.1,27.0192
3367.73,26.8904
3381.49,27.1422
3400.35,26.9691
3518.89,27.4717
3582.3,27.2636
3650.39,27.7272
3706.8,27.6872
3767.07,27.9088
3797.79,27.7801
3886.61,28.3818
3929.3,28.0109
3975.73,28.1982
4000,28.1982
