t,T
-0.07,19.8409
83.28,19.8407
161.13,19.8522
238.97,19.852
316.82,19.8439
403.31,19.8515
479.59,19.8316
562.93,19.8589
640.78,19.8626
723.34,19.9213
800.4,19.9368
882.17,19.9719
962.37,20.0228
1037.85,20.0736
1117.26,20.1638
1202.18,20.2185
1277.66,20.3323
1361,20.4303
1442.77,20.5322
1519.82,20.6459
1601.59,20.7675
1676.28,20.893
1757.26,21.0225
1836.66,21.1283
1918.43,21.2931
2004.91,21.4579
2079.6,21.5677
2166.08,21.7129
2243.13,21.8777
2323.32,22.0464
2400.37,22.1916
2483.71,22.3328
2564.69,22.4622
2640.16,22.5956
2721.92,22.7722
2798.97,22.9095
2878.38,23.0507
2961.71,23.2195
3035.62,23.3843
3122.88,23.5333
3201.5,23.6785
3280.12,23.8197
3362.68,23.9728
3439.72,24.1061
3521.49,24.2434
3604.04,24.3846
3683.45,24.5259
3761.28,24.6632
3839.9,24.8162
3920.88,24.9496
3999.5,25.079
