t,T
25.06,20.2181
62.04,20.0215
108.4,20.3868
139.09,20.0645
194.88,20.5634
242.1,20.0878
258.59,20.3628
293.21,20.0365
361.6,20.331
424.5,20.3387
458.33,20.1539
505.51,20.1813
535.37,20.3973
578.63,20.2597
647.02,20.4167
769.7,20.3181
802.73,20.2119
842.04,20.3454
868.78,20.2235
954.48,20.3843
1037.84,20.2662
1068.49,20.4076
1193.52,20.3089
1264.27,20.5995
1322.48,20.2889
1351.55,20.5639
1377.52,20.3791
1416.03,20.5873
1619.69,20.5395
1660.56,20.7752
1707.75,20.6179
1747.02,21.1286
1782.46,20.488
1862.6,21.3169
1970.36,20.8882
2011.21,21.3361
2078.86,20.9626
2111.87,21.2533
2134.68,21.151
2186.55,21.4181
2264.42,21.1074
2374.44,21.8851
2413.79,21.5314
2449.95,21.6374
2489.28,21.4526
2585.17,21.9238
2633.17,21.5818
2657.52,21.8647
2688.2,21.6484
2718.05,22.0138
2753.45,21.8212
2784.11,22.0136
2825.79,21.8838
2924.03,22.5005
2961.03,21.9266
3012.88,22.5159
3101.49,22.3621
3147.64,22.6926
3216.31,22.5364
3292.41,23.0352
3356.1,22.6296
3398.5,23.116
3439.71,22.8664
3465.89,23.2219
3500.87,22.8974
3550.77,23.2029
3585.75,22.8659
3621.91,23.2526
3648.13,23.1652
3689.28,23.6703
3725.51,23.3521
3761.68,23.6639
3791.66,23.3955
3851.58,23.3455
3906.45,23.9317
3963.89,23.682
3993.83,23.8753
