x,Curve1
8.07,0.255623
9.0141,0.24821
9.627,0.24186
10.8466,0.236276
11.9797,0.233352
13.6761,0.230961
14.9113,0.2296
16.6418,0.227725
17.8151,0.226962
19.4651,0.225569
20.6508,0.225322
22.3782,0.223978
23.5839,0.223702
25.2455,0.223244
26.4585,0.223255
28.1271,0.222743
29.3592,0.22243
31.0093,0.221901
32.2599,0.221105
33.9378,0.220859
35.1142,0.220329
36.7983,0.220333
38.0526,0.220562
39.6743,0.220064
40.9219,0.219792
42.5936,0.219247
43.7917,0.219233
45.5192,0.219186
46.711,0.219189
48.3889,0.219225
