x,Curve1
7.9588,0.187052
9.804,0.18704
10.8566,0.187093
11.3427,0.187028
12.4541,0.187097
14.256,0.187086
15.3396,0.187088
15.8535,0.18704
16.9309,0.187059
18.7235,0.187097
19.8102,0.187134
20.2901,0.187152
21.3891,0.187171
23.1879,0.187159
24.287,0.187112
24.7544,0.18718
25.8473,0.1872
27.6399,0.187138
28.7575,0.187074
29.2219,0.187059
30.3148,0.187112
32.1012,0.187116
33.1848,0.187119
33.6678,0.187154
34.804,0.18714
36.5996,0.187112
37.6832,0.187214
38.1817,0.187199
39.2715,0.187169
41.0609,0.18714
42.1353,0.18716
42.6058,0.187228
43.7328,0.187164
45.5161,0.187135
46.6368,0.187155
47.0609,0.187173
48.2343,0.187176
49.4325,0.187146
