x	vx
-0.967526	0.217686
-0.941967	0.276918
-0.907167	0.248055
-0.88044	0.26924
-0.85113	0.30115
-0.793631	0.299857
-0.731807	0.477504
-0.696194	0.443851
-0.668148	0.48924
-0.642339	0.565196
-0.579356	0.656382
-0.545425	0.702202
-0.517942	0.620012
-0.484019	0.884929
-0.459522	0.825251
-0.423975	0.937665
-0.394528	0.916174
-0.361776	0.82982
-0.337308	0.763935
-0.299936	0.769031
-0.276122	0.962956
-0.183529	1.067098
-0.120466	0.890358
-0.093604	1.026135
-0.029618	0.827101
-0.003208	0.953961
0.028709	1.013535
0.17206	0.906488
0.211713	1.015104
0.250531	0.960374
0.275232	0.839985
0.331277	1.026825
0.391144	0.852518
0.457481	0.704827
0.518967	0.897835
0.577621	0.951865
0.632766	0.767832
0.664659	0.730505
0.692942	0.668729
0.720419	0.778102
0.753866	0.518153
0.791532	0.529724
0.823388	0.570893
0.853113	0.522629
0.879934	0.487877
0.941291	0.387857
0.971469	0.267062
0.997049	0.216794
