    time           f_x           f_y          f_z          f_xv         f_yv          f_zv         f_xp          f_yp          f_zp     
 0.0040000000  3.3778301252  3.3897929595 0.0000000000 0.6277014849 -0.0052193537 0.0000000000  2.7501286404  3.3950123132 0.0000000000 
 0.0106000000 -1.2585148869 -2.0430786029 0.0000000000 0.3497943156 -0.0048508515 0.0000000000 -1.6083092025 -2.0382277515 0.0000000000 
 0.0216000000  0.2405948340 -0.0119897852 0.0000000000 0.2314615693 -0.0030998917 0.0000000000  0.0091332647 -0.0088898935 0.0000000000 
 0.0337000000  0.2294817276  0.0516192454 0.0000000000 0.1955345763 -0.0023968896 0.0000000000  0.0339471513  0.0540161350 0.0000000000 
 0.0470100000  0.1910347831  0.0134980640 0.0000000000 0.1739252087 -0.0020453042 0.0000000000  0.0171095744  0.0155433682 0.0000000000 
 0.0613838599  0.1745937196  0.0230518113 0.0000000000 0.1568300749 -0.0017515804 0.0000000000  0.0177636448  0.0248033917 0.0000000000 
 0.0761777851  0.1603125943  0.0222240687 0.0000000000 0.1434287981 -0.0015486614 0.0000000000  0.0168837962  0.0237727301 0.0000000000 
 0.0911957429  0.1498446631  0.0262533729 0.0000000000 0.1328723462 -0.0013835634 0.0000000000  0.0169723169  0.0276369363 0.0000000000 
 0.1063423019  0.1398985138  0.0255074563 0.0000000000 0.1243156027 -0.0012538177 0.0000000000  0.0155829111  0.0267612741 0.0000000000 
 0.1215771420  0.1332071097  0.0244753581 0.0000000000 0.1173437823 -0.0011456444 0.0000000000  0.0158633274  0.0256210024 0.0000000000 
 0.1368940722  0.1260522895  0.0252020254 0.0000000000 0.1113820617 -0.0010528250 0.0000000000  0.0146702278  0.0262548504 0.0000000000 
 0.1522712846  0.1208820960  0.0279346743 0.0000000000 0.1063033691 -0.0009685490 0.0000000000  0.0145787269  0.0289032232 0.0000000000 
 0.1676975772  0.1163466511  0.0249908460 0.0000000000 0.1019211671 -0.0009024581 0.0000000000  0.0144254840  0.0258933041 0.0000000000 
 0.1831682536  0.1122196492  0.0259311130 0.0000000000 0.0980867902 -0.0008422994 0.0000000000  0.0141328590  0.0267734124 0.0000000000 
 0.1986776511  0.1093082374  0.0275692400 0.0000000000 0.0948479947 -0.0007965426 0.0000000000  0.0144602427  0.0283657826 0.0000000000 
 0.2071420524  0.1070726275  0.0265945500 0.0000000000 0.0931612879 -0.0007698789 0.0000000000  0.0139113397  0.0273644289 0.0000000000 
 0.2156155452  0.1054430896  0.0270703007 0.0000000000 0.0915752429 -0.0007445263 0.0000000000  0.0138678467  0.0278148270 0.0000000000 
 0.2240985604  0.1041118418  0.0268111073 0.0000000000 0.0900881374 -0.0007196584 0.0000000000  0.0140237044  0.0275307658 0.0000000000 
 0.2325900664  0.1025654747  0.0274719474 0.0000000000 0.0886799958 -0.0006966323 0.0000000000  0.0138854790  0.0281685797 0.0000000000 
 0.2410898640  0.1013507536  0.0277015781 0.0000000000 0.0873749894 -0.0006205735 0.0000000000  0.0139757642  0.0283221516 0.0000000000 
 0.2495988450  0.0997723687  0.0277916451 0.0000000000 0.0861037571 -0.0005970138 0.0000000000  0.0136686116  0.0283886590 0.0000000000 
 0.2581151716  0.0989500969  0.0285893904 0.0000000000 0.0849040655 -0.0005755254 0.0000000000  0.0140460314  0.0291649158 0.0000000000 
 0.2666382004  0.0974202110  0.0272522184 0.0000000000 0.0837514888 -0.0005564230 0.0000000000  0.0136687223  0.0278086415 0.0000000000 
 0.2751680449  0.0964747627  0.0277255040 0.0000000000 0.0826604241 -0.0005387809 0.0000000000  0.0138143385  0.0282642849 0.0000000000 
 0.2837038561  0.0956284687  0.0286726708 0.0000000000 0.0816432071 -0.0005431781 0.0000000000  0.0139852616  0.0292158489 0.0000000000 
 0.2918211077  0.0943719302  0.0283950159 0.0000000000 0.0806905618 -0.0005270045 0.0000000000  0.0136813683  0.0289220204 0.0000000000 
 0.2999419539  0.0935295652  0.0282450396 0.0000000000 0.0797803480 -0.0005115563 0.0000000000  0.0137492172  0.0287565959 0.0000000000 
 0.3080667684  0.0926484032  0.0279208583 0.0000000000 0.0789083724 -0.0004964796 0.0000000000  0.0137400308  0.0284173380 0.0000000000 
 0.3161955921  0.0918123782  0.0282986304 0.0000000000 0.0780717247 -0.0004822729 0.0000000000  0.0137406535  0.0287809033 0.0000000000 
 0.3243284686  0.0911879123  0.0289314985 0.0000000000 0.0773238137 -0.0004757465 0.0000000000  0.0138640985  0.0294072450 0.0000000000 
 0.3321853286  0.0903697714  0.0296967644 0.0000000000 0.0765771243 -0.0004610011 0.0000000000  0.0137926471  0.0301577655 0.0000000000 
 0.3400439973  0.0897298899  0.0294347577 0.0000000000 0.0758571164 -0.0004482079 0.0000000000  0.0138727735  0.0298829655 0.0000000000 
 0.3479048819  0.0888513836  0.0283231933 0.0000000000 0.0751607076 -0.0004311816 0.0000000000  0.0136906760  0.0287543748 0.0000000000 
 0.3557688911  0.0882658703  0.0286028524 0.0000000000 0.0744857805 -0.0004240554 0.0000000000  0.0137800899  0.0290269079 0.0000000000 
 0.3636358535  0.0878161053  0.0297495883 0.0000000000 0.0738342356 -0.0004178928 0.0000000000  0.0139818697  0.0301674811 0.0000000000 
 0.3715054596  0.0869737672  0.0286868949 0.0000000000 0.0732040800 -0.0004071258 0.0000000000  0.0137696872  0.0290940207 0.0000000000 
 0.3793781531  0.0864165370  0.0288184558 0.0000000000 0.0725962389 -0.0003966213 0.0000000000  0.0138202981  0.0292150772 0.0000000000 
 0.3872535716  0.0859282307  0.0300109502 0.0000000000 0.0720116750 -0.0003833370 0.0000000000  0.0139165557  0.0303942872 0.0000000000 
 0.3951310724  0.0853062544  0.0293735778 0.0000000000 0.0714413753 -0.0003734325 0.0000000000  0.0138648791  0.0297470104 0.0000000000 
 0.4030110841  0.0849819923  0.0306453171 0.0000000000 0.0709464040 -0.0003567375 0.0000000000  0.0140355883  0.0310020546 0.0000000000 
 0.4108934067  0.0842350598  0.0295510753 0.0000000000 0.0704084942 -0.0003475005 0.0000000000  0.0138265656  0.0298985758 0.0000000000 
 0.4187783437  0.0839069684  0.0297409624 0.0000000000 0.0698919114 -0.0003373810 0.0000000000  0.0140150570  0.0300783435 0.0000000000 
 0.4266654008  0.0832268692  0.0295422653 0.0000000000 0.0693848153 -0.0003283283 0.0000000000  0.0138420539  0.0298705935 0.0000000000 
 0.4345546081  0.0830132899  0.0301120451 0.0000000000 0.0688997675 -0.0003189629 0.0000000000  0.0141135224  0.0304310080 0.0000000000 
 0.4424458389  0.0825291372  0.0303424674 0.0000000000 0.0684498267 -0.0002914125 0.0000000000  0.0140793106  0.0306338798 0.0000000000 
 0.4503389396  0.0820330851  0.0302809078 0.0000000000 0.0679894228 -0.0002816069 0.0000000000  0.0140436623  0.0305625147 0.0000000000 
 0.4582340180  0.0815917168  0.0305667293 0.0000000000 0.0675381604 -0.0002728491 0.0000000000  0.0140535565  0.0308395784 0.0000000000 
 0.4661310349  0.0810648042  0.0301273747 0.0000000000 0.0670994053 -0.0002643653 0.0000000000  0.0139653989  0.0303917400 0.0000000000 
 0.4740299131  0.0809009249  0.0304647889 0.0000000000 0.0666788153 -0.0002560306 0.0000000000  0.0142221097  0.0307208195 0.0000000000 
 0.4819304647  0.0803683467  0.0300935500 0.0000000000 0.0662784234 -0.0002452992 0.0000000000  0.0140899232  0.0303388492 0.0000000000 
 0.4893200388  0.0800975689  0.0306646136 0.0000000000 0.0659030480 -0.0002375884 0.0000000000  0.0141945209  0.0309022021 0.0000000000 
 0.4967109123  0.0796641651  0.0306631602 0.0000000000 0.0655341593 -0.0002296883 0.0000000000  0.0141300058  0.0308928485 0.0000000000 
 0.5041029574  0.0793452192  0.0311483242 0.0000000000 0.0651749084 -0.0002221259 0.0000000000  0.0141703108  0.0313704501 0.0000000000 
