    time           f_x           f_y           f_z          f_xv         f_yv          f_zv         f_xp           f_yp          f_zp     
 0.0040000000  8.0674468827  30.0417963545 0.0000000000 0.6240475428 -0.0482626403 0.0000000000  7.4433993399  30.0900589948 0.0000000000 
 0.0106000000 -4.1019416700 -18.1038027971 0.0000000000 0.3439922421 -0.0436834072 0.0000000000 -4.4459339121 -18.0601193899 0.0000000000 
 0.0216000000  0.2211081609  -0.0467758104 0.0000000000 0.2273299254 -0.0276293074 0.0000000000 -0.0062217646  -0.0191465030 0.0000000000 
 0.0307720366  0.2956241071   0.4273616885 0.0000000000 0.2027882521 -0.0227085217 0.0000000000  0.0928358549   0.4500702102 0.0000000000 
 0.0405652547  0.2188077814   0.1452185472 0.0000000000 0.1851793100 -0.0196648219 0.0000000000  0.0336284714   0.1648833691 0.0000000000 
 0.0508099131  0.2152788342   0.2412170716 0.0000000000 0.1695277460 -0.0173895575 0.0000000000  0.0457510883   0.2586066292 0.0000000000 
 0.0612924402  0.1905538747   0.1714358058 0.0000000000 0.1564565542 -0.0157451353 0.0000000000  0.0340973206   0.1871809410 0.0000000000 
 0.0719152932  0.1903097971   0.2347312679 0.0000000000 0.1458200440 -0.0142994835 0.0000000000  0.0444897530   0.2490307514 0.0000000000 
 0.0826241342  0.1760806858   0.2166403707 0.0000000000 0.1369614549 -0.0131143368 0.0000000000  0.0391192309   0.2297547075 0.0000000000 
 0.0933969409  0.1710030638   0.2283882064 0.0000000000 0.1296484140 -0.0120695285 0.0000000000  0.0413546498   0.2404577349 0.0000000000 
 0.0997536832  0.1645051921   0.2224776641 0.0000000000 0.1257916718 -0.0115339714 0.0000000000  0.0387135204   0.2340116355 0.0000000000 
 0.1061310241  0.1614969042   0.2241292179 0.0000000000 0.1222783243 -0.0110491575 0.0000000000  0.0392185798   0.2351783754 0.0000000000 
 0.1125269481  0.1586137057   0.2303311893 0.0000000000 0.1190368067 -0.0106004520 0.0000000000  0.0395768990   0.2409316413 0.0000000000 
 0.1189395787  0.1554335568   0.2314593157 0.0000000000 0.1160383790 -0.0101833360 0.0000000000  0.0393951778   0.2416426518 0.0000000000 
 0.1253674643  0.1530280423   0.2297326782 0.0000000000 0.1134035878 -0.0097589352 0.0000000000  0.0396244545   0.2394916134 0.0000000000 
 0.1311394609  0.1486776018   0.2265613455 0.0000000000 0.1110698338 -0.0094397009 0.0000000000  0.0376077680   0.2360010463 0.0000000000 
 0.1369172654  0.1484399674   0.2352609861 0.0000000000 0.1088957373 -0.0091300686 0.0000000000  0.0395442301   0.2443910547 0.0000000000 
 0.1426995782  0.1462608044   0.2366440541 0.0000000000 0.1068479688 -0.0088392393 0.0000000000  0.0394128356   0.2454832934 0.0000000000 
 0.1484861040  0.1423010513   0.2320847391 0.0000000000 0.1048831053 -0.0085654685 0.0000000000  0.0374179460   0.2406502076 0.0000000000 
 0.1542764204  0.1426023695   0.2346992647 0.0000000000 0.1031197972 -0.0082816472 0.0000000000  0.0394825723   0.2429809119 0.0000000000 
 0.1597622911  0.1398735789   0.2359853037 0.0000000000 0.1014725343 -0.0080483105 0.0000000000  0.0384010446   0.2440336142 0.0000000000 
