x      Curve1
0.0546 0.0004967
0.5872 0.0005146
1.0158 0.0005347
1.3775 0.0005904
1.7293 0.0006551
1.8606 0.0006997
2.0787 0.0007665
2.2917 0.0008333
2.4442 0.0009073
2.7707 0.0010347
3.219  0.0012999
3.5612 0.0015722
3.8916 0.001986
4.1513 0.002428
4.3558 0.0028594
4.4699 0.0030787
4.5722 0.0033403
4.6824 0.0035525
4.8004 0.0038071
4.9381 0.0040935
5.1072 0.0043977
5.3118 0.0046841
5.3865 0.0047972
5.5911 0.0050483
5.8507 0.0053913
6.067  0.0057167
6.2441 0.0061057
6.4054 0.0065229
6.5352 0.0068093
6.6218 0.0070286
6.7004 0.007163
6.9482 0.0073504
7.2512 0.0080718
7.44   0.0086658
7.6368 0.0092634
7.8375 0.0099388
7.9518 0.01035
8.0658 0.0107064
8.1749 0.0110494
8.2988 0.0114014
8.393  0.0116954
8.5021 0.0121142
8.5963 0.0124261
8.6558 0.0126355
8.74   0.0127347
8.9035 0.0127907
9.0225 0.0127848
9.1067 0.0126578
9.1958 0.0124395
9.3048 0.0121054
9.3989 0.011847
9.5524 0.0116867
9.8199 0.0114773
10.0429 0.0112813
10.3302 0.0111031
10.5333 0.0108002
10.7513 0.0104572
11.0088 0.0100385
11.1822 0.0097043
11.836  0.0086263
12.2372 0.0078022
12.5096 0.0071206
12.6731 0.0067998
12.9257 0.0064256
13.3072 0.0060514
13.7035 0.0056639
14.1741 0.0051917
14.5605 0.0047463
15.041  0.0041761
15.2689 0.0040157
15.5017 0.0038821
15.8337 0.0037262
16.1409 0.0035703
16.5917 0.0034055
17.211  0.0031472
17.865  0.0028488
18.5041 0.0025414
18.8905 0.0023143
19.3761 0.0021183
19.9062 0.0019446
