x	Enstrophy P2 - Wang 2021
0.1008	0.6864
0.8408	0.6355
1.6177	0.5972
2.4317	0.5844
3.2087	0.6096
3.9856	0.6222
4.8366	0.6601
5.6876	0.6727
6.5385	0.7106
7.3895	0.7485
8.2774	0.8118
9.1284	0.8625
10.0164	0.9512
10.8673	1.0399
11.7183	1.154
12.4583	1.3189
13.1982	1.4966
13.7902	1.725
14.3082	1.9789
14.6782	2.2582
15.0111	2.5502
15.3441	2.8548
15.6031	3.1469
15.8251	3.4516
16.0471	3.769
16.2321	4.0737
16.4171	4.3911
16.5651	4.6958
16.7131	5.0132
16.9351	5.3179
17.0461	5.6354
17.1571	5.8703
17.305	6.1496
17.342	6.3972
17.5455	6.6575
17.601	6.8797
17.749	7.1971
17.823	7.5145
18.082	7.7938
18.2057	8.1571
18.3572	8.4211
18.4271	8.713
18.563	9.235
18.6369	8.9849
18.6925	9.3683
18.7295	9.5778
18.9885	9.8063
19.155	10.4348
19.303	10.7522
19.8579	12.0727
20.0059	12.3901
20.1169	12.7076
20.1354	12.8091
20.35	13.2722
20.5132	14.0161
20.7812	14.568
20.8861	14.9239
21.0959	15.3319
21.2124	15.6758
21.4222	16.0197
21.4455	16.4037
21.6785	16.6116
21.9116	16.8116
22.2379	16.8355
22.4943	16.6275
22.7808	16.3641
23.0028	16.0593
23.2618	15.7545
23.5948	15.4497
24.2237	15.2972
24.7047	15.5637
25.1117	15.8557
25.416	15.9895
25.6656	16.1205
26.018	16.2514
26.385	16.3572
26.6053	16.4479
26.7374	16.5486
27.0604	16.5687
27.3541	16.5082
27.6477	16.4275
28.0148	16.3871
28.4847	16.2862
28.9105	16.1803
28.9225	16.2613
29.1748	16.1047
29.3295	15.9819
29.6625	15.677
30.0695	15.3976
30.4765	15.1182
30.9945	14.8641
31.4754	14.5974
31.9194	14.3179
32.4004	14.0512
32.9924	13.8098
33.7323	13.6319
33.9907	13.5086
34.2991	13.3876
34.5046	13.2213
35.0479	13.07
35.5031	12.9489
36.1638	12.838
36.4574	12.8127
36.9273	12.7874
37.4559	12.6966
38.0579	12.6007
38.6305	12.515
39.115	12.4091
39.673	12.2779
40.0547	12.2023
41.0238	12.0358
42.2865	11.8693
43.329	11.6927
44.1512	11.4305
44.5036	11.3448
45.0175	11.1985
45.3699	11.1279
46.06	11.0673
46.5739	11.0521
47.0438	11.0066
47.3961	10.9612
47.9981	10.8502
48.3358	10.7998
48.8938	10.6586
49.1434	10.5628
49.5545	10.3914
49.9069	10.3157
50.2299	10.1645
50.7585	10.0334
51.2724	9.9174
51.6835	9.7459
52.124	9.6652
52.7554	9.5543
53.3133	9.5038
53.8272	9.4533
54.253	9.3423
54.7375	9.3221
55.0753	9.2968
55.5598	9.2715
56.0884	9.2513
56.6757	9.2562
57.3364	9.1704
57.7328	9.1149
58.3936	9.0644
59.0983	9.0542
59.6269	9.049
60.1702	9.0842


