#t*	y_bubble	y_spike
0.00632	0.522415	0.473485
0.02701	0.5227275	0.473485
0.17989	0.5250275	0.473485
0.28073	0.526515	0.472465
0.3067	0.526895	0.47159
0.49351	0.5321625	0.464015
0.49442	0.5321975	0.46399
0.7204	0.5408625	0.4583325
0.93385	0.548955	0.445075
0.94191	0.5492425	0.4446425
1.10063	0.5544325	0.4375
1.20906	0.5587125	0.429685
1.39406	0.56755	0.4147725
1.64745	0.5805975	0.39394
1.6633	0.58144	0.3925425
1.97415	0.5978925	0.3636375
2.06412	0.6022725	0.35512
2.3675	0.6160075	0.3257575
2.6586	0.6287875	0.2962875
2.6675	0.62918	0.295455
3.0209	0.6449675	0.2651525
3.2464	0.6553025	0.2455425
3.48763	0.6666025	0.223485
3.69394	0.6761375	0.2035675
3.89431	0.6848875	0.1837125
4.08135	0.6931825	0.1655375
4.12765	0.69532	0.160985
4.44097	0.7101975	0.1287875
4.5623	0.71591	0.115355
4.67426	0.7210375	0.1022725
4.88088	0.73015	0.0776525
4.98978	0.7348475	0.06394
