x,y,x_1,y_1,x_2,y_2
0.2106,0.63633,0.79581,0.63461,0.17945,0.90535
0.22057,0.63087,0.80453,0.62669,0.18032,0.91725
0.22226,0.61915,0.81097,0.61669,0.17993,0.92808
0.21856,0.6081,0.8141,0.60526,0.17645,0.93956
0.20995,0.59993,0.80835,0.59587,0.17347,0.95162
0.1999,0.59379,0.79661,0.5955,0.1714,0.96301
0.1888,0.59702,0.78681,0.60226,0.16971,0.97442
0.18541,0.6081,0.77976,0.61137,0.1696,0.9876
0.19012,0.61896,0.77685,0.6228,0.16976,0.99836
0.19733,0.6284,0.77999,0.63355,0.16963,1.01073
0.20178,0.63284,0.79122,0.63631,0.16986,1.02316
,,0.79173,0.6357,0.1709,1.03465
,,,,0.17256,1.04574
,,,,0.17465,1.0572
,,,,0.17732,1.06963
,,,,0.18002,1.08086
,,,,0.18289,1.0922
,,,,0.18622,1.10498
,,,,0.1895,1.11635
,,,,0.19366,1.12757
,,,,0.19831,1.1381
,,,,0.20308,1.14926
,,,,0.20697,1.15987
,,,,0.21146,1.17021
,,,,0.21799,1.1808
,,,,0.22344,1.19074
,,,,0.22937,1.20153
,,,,0.23559,1.21174
,,,,0.24257,1.22207
,,,,0.24959,1.23154
,,,,0.25682,1.24014
,,,,0.26421,1.24938
,,,,0.2722,1.25896
,,,,0.28064,1.26719
,,,,0.28947,1.27505
,,,,0.29756,1.28371
,,,,0.30713,1.29172
,,,,0.31682,1.29874
,,,,0.32551,1.30524
,,,,0.33601,1.31194
,,,,0.34588,1.31761
,,,,0.35724,1.32435
,,,,0.36667,1.33006
,,,,0.3782,1.33515
,,,,0.38948,1.33888
,,,,0.40078,1.34196
,,,,0.41119,1.34512
,,,,0.42283,1.34997
,,,,0.43444,1.35247
,,,,0.44658,1.3549
,,,,0.45724,1.35689
,,,,0.47012,1.35836
,,,,0.48153,1.35901
,,,,0.49383,1.35973
,,,,0.5056,1.36014
,,,,0.51732,1.35947
,,,,0.52893,1.35829
,,,,0.54199,1.35669
,,,,0.55247,1.35482
,,,,0.56361,1.35256
,,,,0.57587,1.35046
,,,,0.58759,1.34779
,,,,0.59914,1.34411
,,,,0.60945,1.33937
,,,,0.62051,1.33444
,,,,0.63159,1.32972
,,,,0.6417,1.32447
,,,,0.65237,1.31896
,,,,0.66285,1.31301
,,,,0.67247,1.30644
,,,,0.6825,1.29815
,,,,0.69123,1.29161
,,,,0.70122,1.284
,,,,0.71003,1.27614
,,,,0.71911,1.26719
,,,,0.72654,1.25937
,,,,0.73438,1.2506
,,,,0.74187,1.24189
,,,,0.74972,1.23251
,,,,0.75701,1.22289
,,,,0.76293,1.21305
,,,,0.76925,1.2029
,,,,0.77603,1.19301
,,,,0.78209,1.18247
,,,,0.78764,1.17133
,,,,0.79271,1.1605
,,,,0.79806,1.14961
,,,,0.80294,1.13877
,,,,0.80642,1.1279
,,,,0.81053,1.11624
,,,,0.81382,1.10527
,,,,0.81718,1.09331
,,,,0.82036,1.08293
,,,,0.82363,1.07084
,,,,0.82596,1.05962
,,,,0.82785,1.04776
,,,,0.82945,1.03618
,,,,0.83064,1.02346
,,,,0.83067,1.01178
,,,,0.83041,0.99889
,,,,0.83036,0.98725
,,,,0.8301,0.97695
,,,,0.8284,0.96381
,,,,0.82615,0.95277
,,,,0.82305,0.94187
,,,,0.82006,0.9296
,,,,0.81995,0.91722
,,,,0.82003,0.9069
,,,,0.82026,0.89356
,,,,0.81996,0.9036
,,,,0.81912,0.91662
,,,,0.81801,0.92576
,,,,0.81385,0.93696
,,,,0.80501,0.94426
,,,,0.79562,0.9535
,,,,0.78606,0.96058
,,,,0.77532,0.96603
,,,,0.76417,0.97169
,,,,0.7545,0.9767
,,,,0.74382,0.98101
,,,,0.73195,0.98406
,,,,0.71954,0.98631
,,,,0.70732,0.98832
,,,,0.69773,0.98993
,,,,0.68553,0.99195
,,,,0.67251,0.99396
,,,,0.66116,0.99544
,,,,0.64871,0.99667
,,,,0.63852,0.99738
,,,,0.6243,0.99809
,,,,0.61341,0.99851
,,,,0.60251,0.99889
,,,,0.58864,0.99942
,,,,0.57883,0.99986
,,,,0.56622,1.00048
,,,,0.55349,1.00108
,,,,0.54347,1.00148
,,,,0.5296,1.00192
,,,,0.51872,1.00219
,,,,0.50748,1.00242
,,,,0.49215,1.00264
,,,,0.48061,1.00275
,,,,0.46907,1.00279
,,,,0.45764,1.00274
,,,,0.44647,1.00257
,,,,0.43565,1.00226
,,,,0.42191,1.0016
,,,,0.41205,1.00092
,,,,0.39918,0.9998
,,,,0.38626,0.99844
,,,,0.37662,0.99735
,,,,0.36394,0.99591
,,,,0.35169,0.99466
,,,,0.34016,0.99374
,,,,0.32919,0.99293
,,,,0.31572,0.99142
,,,,0.30478,0.98943
,,,,0.29387,0.98697
,,,,0.28109,0.984
,,,,0.27012,0.98195
,,,,0.25825,0.97987
,,,,0.24766,0.97707
,,,,0.23659,0.97319
,,,,0.22481,0.96804
,,,,0.21487,0.96213
,,,,0.20592,0.95514
,,,,0.19629,0.94734
,,,,0.18894,0.93887
,,,,0.18212,0.92937
