x,Re200
4e-05,-0.99948
0.0119,-0.99924
0.2646,-0.90021
0.3525,-0.82179
0.585,-0.56508
0.8622,-0.15566
0.9988,0.12747
1.1808,0.3652
1.3109,0.56578
1.3995,0.6541
1.4854,0.70775
1.5401,0.78039
1.6416,0.82578
1.6928,0.85302
1.7915,0.86209
1.9538,0.85052
1.9842,0.82079
2.0462,0.77951
2.1386,0.70851
2.1832,0.65237
2.2906,0.56568
2.438,0.36342
2.5828,0.12814
2.789,-0.15585
2.985,-0.36225
3.2141,-0.56369
3.2576,-0.63304
3.3834,-0.69414
3.4627,-0.72386
3.5765,-0.73048
3.7077,-0.72389
3.7915,-0.69583
3.9108,-0.63228
3.9652,-0.56459
4.1771,-0.36236
4.3567,-0.15435
4.6077,0.12877
4.8383,0.36154
4.9781,0.47874
5.1155,0.56458
5.217,0.60915
5.2832,0.61987
5.3655,0.62812
5.4791,0.61985
5.638,0.5637
5.7783,0.47866
5.9321,0.35895
6.1428,0.13109
6.4306,-0.15373
6.5691,-0.26189
6.6917,-0.36344
6.8478,-0.45426
6.9256,-0.50379
6.9569,-0.52031
7.0374,-0.53517
7.1514,-0.53931
7.2825,-0.53355
7.3827,-0.50466
7.4847,-0.45349
7.6225,-0.3627
7.7611,-0.262
7.8675,-0.1547
8.0957,0.0467
8.3038,0.20105
8.4423,0.30092
8.5622,0.3719
8.6468,0.40987
8.7138,0.43132
8.8296,0.44947
8.9445,0.45772
9.0743,0.44697
9.171,0.43045
9.2019,0.40899
9.2317,0.37184
9.357,0.30413
9.5287,0.2034
9.7777,0.04819
10.0398,-0.14913
10.1487,-0.21684
10.2897,-0.2928
10.4473,-0.36546
10.5276,-0.38197
10.6899,-0.3952
10.8375,-0.38696
10.9536,-0.36385
11.1387,-0.29453
11.2754,-0.21777
11.3785,-0.15257
11.6881,0.04635
11.842,0.13466
12.0961,0.25021
12.1972,0.29064
12.2973,0.31705
12.3962,0.32942
12.4785,0.33685
12.673,0.31949
12.8015,0.29141
12.9287,0.24847
13.116,0.13866
13.3048,0.04784
13.4447,-0.04215
13.6344,-0.12142
13.8246,-0.19491
13.9512,-0.2461
14.0472,-0.27088
14.1117,-0.28079
14.2744,-0.28906
14.4549,-0.27752
14.6371,-0.24452
14.9244,-0.12155
15.0777,-0.04149
15.2972,0.05012
15.7012,0.20362
15.85,0.22755
15.9492,0.2424
16.0965,0.24651
16.2266,0.23989
16.4195,0.20108
16.6699,0.11123
16.8901,0.03321
17.0788,-0.0521
17.1987,-0.09787
17.5008,-0.18007
17.6536,-0.19932
17.7044,-0.20713
17.776,-0.21286
17.8788,-0.21287
18.003,-0.20352
18.1902,-0.17754
18.4741,-0.09956
18.5913,-0.04809
18.8345,0.03613
19.0244,0.0954
19.2136,0.14686
19.3487,0.16453
19.4212,0.17025
19.5145,0.17908
19.6073,0.18219
19.71,0.1801
19.904,0.16188
20.0262,0.14574
20.2076,0.0984
20.3982,0.0365
20.7713,-0.0587
21.0843,-0.13362
21.217,-0.14611
21.2886,-0.15132
21.4221,-0.15445
21.5459,-0.1503
21.722,-0.1342
22.0879,-0.06039
22.3818,0.01446
22.7066,0.08932
22.8423,0.11427
22.9872,0.12621
23.0803,0.13192
23.2348,0.13503
23.3577,0.12774
23.5415,0.11004
23.6938,0.08506
24.0277,0.0143
24.4428,-0.06998
24.6772,-0.09757
24.8203,-0.10902
25.0051,-0.11372
25.2011,-0.1075
25.4921,-0.06905
25.9203,0.01204
26.2744,0.06764
26.4195,0.08063
26.5441,0.0957
26.6472,0.09933
26.7912,0.0988
26.9554,0.09306
27.1391,0.07536
27.5357,0.01708
28.0647,-0.05786
28.1976,-0.06931
28.31,-0.07816
28.4331,-0.08286
28.5462,-0.08391
28.7214,-0.07976
28.9077,-0.0647
29.2708,-0.02574
29.562,0.0148
29.7284,0.03766
29.8946,0.05793
30.0083,0.06416
30.132,0.06831
30.297,0.07245
30.4715,0.06879
30.6252,0.06098
30.8298,0.04588
31.0644,0.02089
31.5439,-0.0296
31.7173,-0.04834
31.8298,-0.05615
32.0251,-0.05929
32.1279,-0.0593
32.3338,-0.05724
32.4786,-0.04737
33.2453,0.02172
33.442,0.03782
33.6693,0.0508
33.8855,0.05286
34.1422,0.04711
34.3777,0.03305
35.0526,-0.01798
35.288,-0.03413
35.5755,-0.04092
35.7089,-0.04405
35.9252,-0.04095
36.3903,-0.01343
36.9901,0.02655
37.2065,0.03225
37.2894,0.039
37.4849,0.0395
37.7317,0.03896
37.7826,0.03271
38.0389,0.02073
38.6535,-0.01262
38.8789,-0.02304
39.0842,-0.02878
39.2691,-0.03192
39.5163,-0.0283
39.7227,-0.02
40.0738,-0.0034
40.6004,0.02203
40.7654,0.02774
40.9713,0.02876
41.2591,0.02665
41.5261,0.0209
41.9158,0.00474
42.3564,-0.01714
42.5514,-0.02236
42.7879,-0.02342
43.1072,-0.01878
43.5403,-0.00478
44.0663,0.01181
44.324,0.01855
44.5401,0.02061
44.8486,0.01902
45.1054,0.01431
45.598,-0.00134
45.8545,-0.00916
46.1832,-0.01492
46.4918,-0.01547
46.8316,-0.01082
47.2954,-0.00047
47.7283,0.01041
47.9755,0.01507
48.2742,0.0192
48.6028,0.01189
49.0958,0.003
49.6603,-0.01318
