position_x	position_y	position_z
0.05773	0.06732	0.0201
0.05773	0.05732	0.0201
0.05773	0.04732	0.0201
0.05773	0.03732	0.0201
0.05773	0.02732	0.0201
0.05773	0.01732	0.0201
0.05773	0.00731999999999999	0.0201
0.05773	-0.00268	0.0201
0.05773	-0.01268	0.0201
0.05773	-0.02268	0.0201
0.05773	-0.03268	0.0201
0.05773	-0.04268	0.0201
0.05773	-0.05268	0.0201
0.04773	0.06732	0.0201
0.04773	0.05732	0.0201
0.04773	0.04732	0.0201
0.04773	0.03732	0.0201
0.04773	0.02732	0.0201
0.04773	0.01732	0.0201
0.04773	0.00731999999999999	0.0201
0.04773	-0.00268	0.0201
0.04773	-0.01268	0.0201
0.04773	-0.02268	0.0201
0.04773	-0.03268	0.0201
0.04773	-0.04268	0.0201
0.04773	-0.05268	0.0201
0.03773	0.06732	0.0201
0.03773	0.05732	0.0201
0.03773	0.04732	0.0201
0.03773	0.03732	0.0201
0.03773	0.02732	0.0201
0.03773	0.01732	0.0201
0.03773	0.00731999999999999	0.0201
0.03773	-0.00268	0.0201
0.03773	-0.01268	0.0201
0.03773	-0.02268	0.0201
0.03773	-0.03268	0.0201
0.03773	-0.04268	0.0201
0.03773	-0.05268	0.0201
0.02773	0.06732	0.0201
0.02773	0.05732	0.0201
0.02773	0.04732	0.0201
0.02773	0.03732	0.0201
0.02773	0.02732	0.0201
0.02773	0.01732	0.0201
0.02773	0.00731999999999999	0.0201
0.02773	-0.00268	0.0201
0.02773	-0.01268	0.0201
0.02773	-0.02268	0.0201
0.02773	-0.03268	0.0201
0.02773	-0.04268	0.0201
0.02773	-0.05268	0.0201
0.01773	0.06732	0.0201
0.01773	0.05732	0.0201
0.01773	0.04732	0.0201
0.01773	0.03732	0.0201
0.01773	0.02732	0.0201
0.01773	0.01732	0.0201
0.01773	0.00731999999999999	0.0201
0.01773	-0.00268	0.0201
0.01773	-0.01268	0.0201
0.01773	-0.02268	0.0201
0.01773	-0.03268	0.0201
0.01773	-0.04268	0.0201
0.01773	-0.05268	0.0201
0.00773	0.06732	0.0201
0.00773	0.05732	0.0201
0.00773	0.04732	0.0201
0.00773	0.03732	0.0201
0.00773	0.02732	0.0201
0.00773	0.01732	0.0201
0.00773	0.00731999999999999	0.0201
0.00773	-0.00268	0.0201
0.00773	-0.01268	0.0201
0.00773	-0.02268	0.0201
0.00773	-0.03268	0.0201
0.00773	-0.04268	0.0201
0.00773	-0.05268	0.0201
-0.00227	0.06732	0.0201
-0.00227	0.05732	0.0201
-0.00227	0.04732	0.0201
-0.00227	0.03732	0.0201
-0.00227	0.02732	0.0201
-0.00227	0.01732	0.0201
-0.00227	0.00731999999999999	0.0201
-0.00227	-0.00268	0.0201
-0.00227	-0.01268	0.0201
-0.00227	-0.02268	0.0201
-0.00227	-0.03268	0.0201
-0.00227	-0.04268	0.0201
-0.00227	-0.05268	0.0201
-0.01227	0.06732	0.0201
-0.01227	0.05732	0.0201
-0.01227	0.04732	0.0201
-0.01227	0.03732	0.0201
-0.01227	0.02732	0.0201
-0.01227	0.01732	0.0201
-0.01227	0.00731999999999999	0.0201
-0.01227	-0.00268	0.0201
-0.01227	-0.01268	0.0201
-0.01227	-0.02268	0.0201
-0.01227	-0.03268	0.0201
-0.01227	-0.04268	0.0201
-0.01227	-0.05268	0.0201
-0.02227	0.06732	0.0201
-0.02227	0.05732	0.0201
-0.02227	0.04732	0.0201
-0.02227	0.03732	0.0201
-0.02227	0.02732	0.0201
-0.02227	0.01732	0.0201
-0.02227	0.00731999999999999	0.0201
-0.02227	-0.00268	0.0201
-0.02227	-0.01268	0.0201
-0.02227	-0.02268	0.0201
-0.02227	-0.03268	0.0201
-0.02227	-0.04268	0.0201
-0.02227	-0.05268	0.0201
-0.030227	0.06732	0.0201
-0.030227	0.05732	0.0201
-0.030227	0.04732	0.0201
-0.030227	0.03732	0.0201
-0.030227	0.02732	0.0201
-0.030227	0.01732	0.0201
-0.030227	0.00731999999999999	0.0201
-0.030227	-0.00268	0.0201
-0.030227	-0.01268	0.0201
-0.030227	-0.02268	0.0201
-0.030227	-0.03268	0.0201
-0.030227	-0.04268	0.0201
-0.030227	-0.05268	0.0201
-0.04227	0.06732	0.0201
-0.04227	0.05732	0.0201
-0.04227	0.04732	0.0201
-0.04227	0.03732	0.0201
-0.04227	0.02732	0.0201
-0.04227	0.01732	0.0201
-0.04227	0.00731999999999999	0.0201
-0.04227	-0.00268	0.0201
-0.04227	-0.01268	0.0201
-0.04227	-0.02268	0.0201
-0.04227	-0.03268	0.0201
-0.04227	-0.04268	0.0201
-0.04227	-0.05268	0.0201
-0.05227	0.06732	0.0201
-0.05227	0.05732	0.0201
-0.05227	0.04732	0.0201
-0.05227	0.03732	0.0201
-0.05227	0.02732	0.0201
-0.05227	0.01732	0.0201
-0.05227	0.00731999999999999	0.0201
-0.05227	-0.00268	0.0201
-0.05227	-0.01268	0.0201
-0.05227	-0.02268	0.0201
-0.05227	-0.03268	0.0201
-0.05227	-0.04268	0.0201
-0.05227	-0.05268	0.0201
-0.06227	0.06732	0.0201
-0.06227	0.05732	0.0201
-0.06227	0.04732	0.0201
-0.06227	0.03732	0.0201
-0.06227	0.02732	0.0201
-0.06227	0.01732	0.0201
-0.06227	0.00731999999999999	0.0201
-0.06227	-0.00268	0.0201
-0.06227	-0.01268	0.0201
-0.06227	-0.02268	0.0201
-0.06227	-0.03268	0.0201
-0.06227	-0.04268	0.0201
-0.06227	-0.05268	0.0201

