reconstructed_positions_id,volumes,particle_positions_x,particle_positions_y,particle_positions_z,cell_level,status,status_id,distance
0,9.31704e-10,0.0368457,-0.0405582,0.112031,6,cost_function|wrong_cell,5,0.00205301
1,9.52654e-10,0.0412412,-0.0374424,0.112969,6,cost_function|wrong_cell,5,0.00107165
2,1.06459e-09,0.0444628,-0.0339127,0.113906,6,cost_function|right_cell,1,0.00041518
3,1.16425e-09,0.0476915,-0.0312882,0.115781,6,cost_function|wrong_cell,5,0.000793795
4,1.25524e-09,0.0507164,-0.0264742,0.116719,6,cost_function|wrong_cell,5,0.00151425
5,1.3549e-09,0.05446,-0.0231215,0.116719,6,cost_function|wrong_cell,5,0.00330684
6,1.41267e-09,0.0566089,-0.0188992,0.121406,6,cost_function|wrong_cell,5,0.000799336
7,1.47043e-09,0.0588435,-0.0145555,0.123281,6,cost_function|wrong_cell,5,0.00100867
8,1.50725e-09,0.0601521,-0.00995905,0.124219,6,cost_function|wrong_cell,5,0.00202027
9,1.55634e-09,0.0618969,-0.00383041,0.126094,6,cost_function|wrong_cell,5,0.00196881
10,1.58088e-09,0.0627693,0.000766081,0.129844,6,cost_function|right_cell,1,0.000271512
11,1.66787e-09,0.0635943,0.0055141,0.128906,6,cost_function|wrong_cell,5,0.00309738
12,1.72559e-09,0.0633217,0.0104089,0.135469,6,cost_function|wrong_cell,5,0.00150765
13,1.7833e-09,0.0630457,0.0154592,0.135469,6,cost_function|wrong_cell,5,0.000629469
14,1.84101e-09,0.0627663,0.020665,0.139219,6,cost_function|wrong_cell,5,0.00122418
15,1.87188e-09,0.0613874,0.0256246,0.140156,6,cost_function|right_cell,1,0.000384112
16,1.81223e-09,0.0607939,0.0309356,0.140156,6,cost_function|wrong_cell,5,0.00201822
17,1.70773e-09,0.0590425,0.0358194,0.143906,6,cost_function|wrong_cell,5,0.00098385
18,1.5774e-09,0.0564335,0.0401649,0.146719,6,cost_function|wrong_cell,5,0.000976178
19,1.44707e-09,0.0539928,0.0444232,0.147656,6,cost_function|right_cell,1,0.000642
