t	S18
-0.0181	-0.601
0.01	0.174
0.0108	0.196
0.241	3.903
0.2539	4.013
0.2539	4.013
0.7334	7.448
0.7404	7.52
0.7614	7.762
0.8607	9.995
0.8749	10.148
0.8855	10.249
1.1957	12.857
1.2064	12.999
1.2134	13.098
1.433	17.184
1.4931	17.766
1.6994	19.184
1.7574	19.782
1.7731	20.027
1.8345	21.645
1.97	24.452
2.0983	25.974
2.2323	27.301
2.5769	30.435
2.6028	30.683
2.7257	31.97
2.8876	34.142
2.9391	34.867
3.0284	36.053
3.1772	37.821
3.2306	38.392
3.2696	38.791
3.5763	41.465
3.6226	41.813
3.7046	42.416
4.065	45.346
4.1152	45.867
4.1359	46.094
4.4921	50.568
4.5188	50.895
4.6583	52.488
5.0455	56.239
5.0678	56.44
5.1104	56.817
5.5824	60.879
5.9765	64.23
5.9945	64.384
6.2101	66.243
6.8298	71.755
6.8475	71.918
6.8665	72.094
7.4417	77.323
7.4696	77.553
7.4974	77.78
8.0176	81.86
8.1628	83.002
8.2029	83.323
8.2754	83.916
8.6959	87.796
8.7222	88.057
9.1124	91.831
9.4206	94.42
9.7583	96.644
10.0356	98.562
10.1678	99.645
10.6531	104.194
10.6971	104.598
11.0424	107.06
11.2675	105.565
11.3794	105.455
11.8606	112.177
11.8857	112.469
11.9398	109.424
12.0064	109.732
12.6492	116.809
12.8996	120.63
13.0791	122.239
13.0871	122.268
13.436	122.434
13.6708	122.531
13.9491	124.76
13.9952	124.983
14.0628	125.151
14.5252	124.944
14.5505	124.925
14.8111	127.081
14.8186	127.406
14.8447	128.776
14.9986	134.311
15.3701	131.035
15.4142	131.12
15.5266	131.921
15.7667	135.233
15.9469	138.348
15.9727	134.581
15.9821	134.44
16.1082	133.813
16.5383	135.506
16.5822	135.985
16.6706	137.534
16.7338	139.708
16.7965	141.685
16.8226	141.75
17.0964	139.676
17.1127	139.587
17.1529	139.414
17.3361	139.446
17.4376	139.899
17.5585	140.713
17.6957	141.89
17.723	142.148
17.9215	144.12
18.1413	146.096
18.1878	146.428
18.412	147.139
18.6219	145.562
18.6707	144.958
18.6868	144.758
18.8608	143.724
18.9555	145.266
19.0971	149.428
19.1728	151.08
19.1836	151.192
19.4718	148.666
19.5026	148.54
19.6613	148.762
19.6668	148.785
20.0106	150.936
20.1189	151.591
20.2029	152
20.5698	152.865
20.6611	152.938
20.8391	153.031
21.0626	153.155
21.1692	153.251
21.4432	153.752
21.449	153.769
21.6992	155.091
21.8206	156.958
22.0731	160.019
22.1036	159.969
22.2375	159.459
22.4197	158.462
22.4771	158.128
22.864	156.456
22.8958	156.489
22.9417	156.726
23.1761	161.391
23.2442	161.688
23.2761	161.735
23.5451	161.192
23.7799	160.246
24.0241	159.181
24.036	159.131
24.4071	158.145
24.5042	158.982
24.5719	163.878
24.6063	164.158
24.952	163.432
24.9843	163.29
25.4367	161.241
25.4591	161.164
25.5049	161.035
25.6665	161.432
25.7872	163.633
25.8056	163.745
26.1021	163.798
26.2799	163.403
26.4058	163.078
26.4589	162.941
26.6952	162.429
26.8161	162.31
26.9507	162.368
27.0666	162.612
27.2792	163.463
27.507	164.437
27.7286	164.713
27.7783	164.572
27.9724	163.238
28.165	161.646
28.1913	161.561
28.3581	162.5
28.3622	162.544
28.6043	164.912
28.6922	165.483
28.7354	165.715
28.9951	166.62
29.1911	166.802
29.2633	166.751
29.3845	166.494
29.5141	165.941
29.6133	165.35
29.9863	163.156
30.0001	163.148
30.0035	163.148
30.2883	165.141
30.2907	165.159
30.474	165.906
30.6306	165.714
30.7385	165.374
31.0936	163.917
31.244	163.479
31.2863	163.445
31.5408	164.609
31.652	164.913
31.6879	164.895
31.9255	164.165
32.1456	163.15
32.2774	162.555
32.3828	162.199
32.4683	162.072
32.6639	162.321
32.8054	162.527
32.8068	162.528
33.0871	162.219
