particle_id,diameter,mass,boundary_id,start_time,end_time,start_particle_velocity_x,start_particle_velocity_y,start_particle_velocity_z,start_particle_angular_velocity_x,start_particle_angular_velocity_y,start_particle_angular_velocity_z,end_particle_velocity_x,end_particle_velocity_y,end_particle_velocity_z,end_particle_angular_velocity_x,end_particle_angular_velocity_y,end_particle_angular_velocity_z
5,2.5e-05,1.45708e-11,2,3.07731,3.07732,0.215854,-0.346258,5.12817,0,0,0,0.204692,-0.328359,-4.61699,-3543.64,-2208.86,0
1,2.5e-05,1.45708e-11,2,3.07733,3.07733,-0.192359,-0.345262,5.11604,0,0,0,-0.182248,-0.327117,-4.60649,-3603.76,2007.75,0
30,2.5e-05,1.45708e-11,2,3.07734,3.07734,-0.279196,0.145253,5.06454,0,0,0,-0.264865,0.137796,-4.56384,1482.97,2850.64,0
6,2.5e-05,1.45708e-11,2,3.07754,3.07755,-0.27878,-0.254652,5.05956,0,0,0,-0.258227,-0.235889,-4.55212,-3718.29,4069.8,0
2,2.5e-05,1.45708e-11,2,3.07755,3.07755,-0.0855334,-0.331207,5.0819,0,0,0,-0.079879,-0.309321,-4.5713,-4332.9,1118.8,0
12,2.5e-05,1.45708e-11,2,3.07756,3.07757,-0.266798,-0.152142,5.03482,0,0,0,-0.25298,-0.144269,-4.53083,-1560.73,2736.16,0
3,2.5e-05,1.45708e-11,2,3.07757,3.07757,0.0128403,-0.325595,5.06675,0,0,0,0.0118529,-0.300559,-4.56581,-4977.04,-196.274,0
18,2.5e-05,1.45708e-11,2,3.07758,3.07758,-0.258798,-0.0503728,5.01594,0,0,0,-0.23937,-0.0465951,-4.51515,-752.83,3866.48,0
31,2.5e-05,1.45708e-11,2,3.0778,3.0778,-0.18372,0.153779,4.99647,0,0,0,-0.172966,0.144769,-4.48377,1779.16,2126.24,0
25,2.5e-05,1.45708e-11,2,3.0778,3.07781,-0.178644,0.0498223,4.993,0,0,0,-0.16769,0.0467599,-4.49514,604.904,2170.72,0
10,2.5e-05,1.45708e-11,2,3.07781,3.07781,0.118243,-0.24684,4.99262,0,0,0,0.111884,-0.233572,-4.49836,-2629.85,-1259.55,0
23,2.5e-05,1.45708e-11,2,3.07781,3.07781,0.198695,-0.0525497,4.98827,0,0,0,0.187323,-0.0495487,-4.47823,-596.442,-2253.66,0
16,2.5e-05,1.45708e-11,2,3.07781,3.07781,0.113271,-0.148102,4.99457,0,0,0,0.104916,-0.137184,-4.4952,-2170.86,-1660,0
22,2.5e-05,1.45708e-11,2,3.07781,3.07781,0.11003,-0.0503571,4.99553,0,0,0,0.10376,-0.0474939,-4.48501,-569.215,-1242.88,0
19,2.5e-05,1.45708e-11,2,3.07781,3.07781,-0.176534,-0.0531435,4.98976,0,0,0,-0.166117,-0.0500138,-4.47737,-622.241,2065.72,0
17,2.5e-05,1.45708e-11,2,3.07781,3.07781,0.205194,-0.154333,4.99347,0,0,0,0.190069,-0.142962,-4.49422,-2261.1,-3005.77,0
11,2.5e-05,1.45708e-11,2,3.07781,3.07782,0.214426,-0.256908,4.99844,0,0,0,0.202454,-0.24257,-4.50274,-2845.69,-2374.81,0
26,2.5e-05,1.45708e-11,2,3.07782,3.07782,-0.0846964,0.0496415,4.99741,0,0,0,-0.0797745,0.0467513,-4.48627,571.924,976.382,0
13,2.5e-05,1.45708e-11,2,3.07782,3.07782,-0.182391,-0.154075,4.99041,0,0,0,-0.171677,-0.145029,-4.49444,-1797.61,2127.62,0
28,2.5e-05,1.45708e-11,2,3.07782,3.07782,0.110006,0.0528446,4.9969,0,0,0,0.10404,0.0499742,-4.50198,568.587,-1184.24,0
9,2.5e-05,1.45708e-11,2,3.07782,3.07782,0.0127408,-0.241791,4.98606,0,0,0,0.0119954,-0.227648,-4.47434,-2809.08,-148.011,0
7,2.5e-05,1.45708e-11,2,3.07782,3.07782,-0.190642,-0.256065,4.99007,0,0,0,-0.180215,-0.242064,-4.48742,-2781.33,2070.52,0
15,2.5e-05,1.45708e-11,2,3.07783,3.07783,0.0123402,-0.147226,4.99499,0,0,0,0.0114053,-0.136074,-4.49779,-2222.37,-186.267,0
21,2.5e-05,1.45708e-11,2,3.07783,3.07803,0.0120999,-0.0535895,5.0027,0,0,0,0.011222,-0.0497068,-4.50029,-775.31,-174.997,0
12,2.5e-05,1.45708e-11,2,3.09745,3.09745,-1.45459,-0.823681,1.64615,-1560.73,2736.16,0,-0.947539,-0.536622,-1.48229,-58848.5,103920,0
3,2.5e-05,1.45708e-11,2,3.09746,3.09746,0.0766806,-1.64834,1.60901,-4977.04,-196.274,0,0.0502231,-1.08298,-1.44908,-117800,-5476.12,0
2,2.5e-05,1.45708e-11,2,3.09746,3.09746,-0.490756,-1.64158,1.57809,-4332.9,1118.8,0,-0.319151,-1.07022,-1.41878,-118341,35360.2,0
18,2.5e-05,1.45708e-11,2,3.09746,3.09746,-1.42137,-0.214778,1.71096,-752.83,3866.48,0,-0.959007,-0.145634,-1.53886,-14553.4,96127.5,0
30,2.5e-05,1.45708e-11,2,3.09769,3.09769,-1.54028,0.954283,1.48103,1482.97,2850.64,0,-0.996051,0.615813,-1.33583,69018.5,111447,0
10,2.5e-05,1.45708e-11,2,3.09792,3.09792,0.725711,-1.28704,1.74478,-2629.85,-1259.55,0,0.483865,-0.859827,-1.57088,-87867.8,-49511,0
9,2.5e-05,1.45708e-11,2,3.09795,3.09796,0.0793572,-1.26708,1.74214,-2809.08,-148.011,0,0.054838,-0.877352,-1.56676,-80574.1,-5040.46,0
