f,PSD
0.51321,6.937e+04
0.60542,8.334e+04
0.7093,1.0013e+05
0.79191,1.1415e+05
0.9342,1.3715e+05
1.08696,1.8297e+05
1.25602,2.5724e+05
1.4614,3.6166e+05
1.6315,5.796e+05
1.8214,9.288e+05
1.8593,1.0314e+06
2.1046,1.6102e+06
2.274,1.9218e+06
2.4152,2.3238e+06
2.753,1.6106e+06
3.0739,9.793e+05
3.226,6.611e+05
3.4802,3.7159e+05
3.9131,1.6937e+05
4.3096,9.772e+04
4.812,6.099e+04
5.4852,3.908e+04
6.0409,23146
6.653,13355
6.934,10973
7.5316,8784
8.2379,5068
9.3902,3247.2
10.7038,2135.8
11.7883,1265
12.3073,992.8
13.1625,832
13.9325,679.2
14.596,492.8
16.638,341.55
17.371,249.44
18.26,226.11
18.578,213.17
21.176,147.75
22.377,108.62
23.121,117.5
23.644,105.12
25.072,72.86
25.816,75.78
26.219,70.98
26.584,60.65
27.515,59.48
28.975,45.18
29.478,45.48
30.25,45.78
31.365,35.228
32.408,36.641
33.37,35
35.629,24.901
36.75,27.979
38.547,24.319
41.138,25.98
43.433,20.452
48.303,20.624
50.121,14.95
56.223,23.345
69.093,17.207
84.724,13.549
96.703,20.301
